Id,VendorName,Route,RunType,Type,Reason,Delay,Schools,School Reported,DateOccured
322651,SNT BUS INC,m1013,AM Run,Running Late,Mechanical Problem,31-45 Min,02963,false,2021-01-11
322652,"RELIANT TRANSPORTATION, INC (B2321)",m741,PM Run,Breakdown,Mechanical Problem,,03076,false,2021-01-11
322652,"RELIANT TRANSPORTATION, INC (B2321)",m741,PM Run,Breakdown,Mechanical Problem,,03448,false,2021-01-11
322656,HOYT TRANSPORTATION CORP.,y253,AM Run,Running Late,Heavy Traffic,0-15 Min,09058,false,2021-01-12
322659,PIONEER TRANSPORTATION CORP,x003,AM Run,Running Late,Mechanical Problem,31-45 Min,07449,false,2021-01-12
322660,HOYT TRANSPORTATION CORP.,q453,AM Run,Breakdown,Mechanical Problem,,26187,false,2021-01-12
322662,PRIDE TRANSPORTATION (SCH AGE),x648,PM Run,Running Late,Heavy Traffic,31-45 Min,09073,false,2021-01-12
322662,PRIDE TRANSPORTATION (SCH AGE),x648,PM Run,Running Late,Heavy Traffic,31-45 Min,09114,false,2021-01-12
322662,PRIDE TRANSPORTATION (SCH AGE),x648,PM Run,Running Late,Heavy Traffic,31-45 Min,09486,false,2021-01-12
322663,"RELIANT TRANSPORTATION, INC (B2321)",j477,AM Run,Running Late,Heavy Traffic,16-30 Min,75760,false,2021-01-12
322667,"DON THOMAS BUSES, INC. (B2321)",y108,AM Run,Running Late,Heavy Traffic,0-15 Min,07001,false,2021-01-12
322667,"DON THOMAS BUSES, INC. (B2321)",y108,AM Run,Running Late,Heavy Traffic,0-15 Min,07179,false,2021-01-12
322667,"DON THOMAS BUSES, INC. (B2321)",y108,AM Run,Running Late,Heavy Traffic,0-15 Min,07369,false,2021-01-12
322289,"BORO TRANSIT, INC.",k339,AM Run,Running Late,Heavy Traffic,16-30 Min,14646,false,2021-01-04
322292,"THOMAS BUSES, INC. (B2321)",l251,AM Run,Running Late,Won`t Start,46-60 Min,20865,false,2021-01-04
322294,"GRANDPA`S BUS CO., INC.",x9050,PM Run,Breakdown,Mechanical Problem,,10344,false,2021-01-04
322296,HOYT TRANSPORTATION CORP.,r605,AM Run,Running Late,Mechanical Problem,31-45 Min,31233,false,2021-01-04
322305,HOYT TRANSPORTATION CORP.,p215,AM Run,Running Late,Heavy Traffic,0-15 Min,29462,false,2021-01-04
322306,G.V.C. LTD. (B2192),x812,AM Run,Running Late,Heavy Traffic,31-45 Min,11433,false,2021-01-04
322310,"RELIANT TRANSPORTATION, INC (B2321)",j647,PM Run,Breakdown,Mechanical Problem,,75760,false,2021-01-04
322311,"G.V.C., LTD.",6,AM Run,Running Late,Flat Tire,16-30 Min,e017,false,2021-01-04
322312,PRIDE TRANSPORTATION (SCH AGE),p788,AM Run,Breakdown,Mechanical Problem,,28695,false,2021-01-04
322316,"LORINDA ENTERPRISES, LTD.",q478,AM Run,Running Late,Other,16-30 Min,28472,false,2021-01-04
322322,"DON THOMAS BUSES, INC.",nym5,AM Run,Running Late,Heavy Traffic,46-60 Min,e203,false,2021-01-04
322325,"THOMAS BUSES, INC. (B2321)",n601,AM Run,Running Late,Heavy Traffic,16-30 Min,75029,false,2021-01-04
322330,"BORO TRANSIT, INC.",p304,AM Run,Running Late,Mechanical Problem,0-15 Min,24016,false,2021-01-04
322330,"BORO TRANSIT, INC.",p304,AM Run,Running Late,Mechanical Problem,0-15 Min,24409,false,2021-01-04
322332,"RELIANT TRANSPORTATION, INC (B2321)",l618,AM Run,Running Late,Heavy Traffic,16-30 Min,19004,false,2021-01-04
322332,"RELIANT TRANSPORTATION, INC (B2321)",l618,AM Run,Running Late,Heavy Traffic,16-30 Min,19657,false,2021-01-04
322332,"RELIANT TRANSPORTATION, INC (B2321)",l618,AM Run,Running Late,Heavy Traffic,16-30 Min,19658,false,2021-01-04
322332,"RELIANT TRANSPORTATION, INC (B2321)",l618,AM Run,Running Late,Heavy Traffic,16-30 Min,19680,false,2021-01-04
322332,"RELIANT TRANSPORTATION, INC (B2321)",l618,AM Run,Running Late,Heavy Traffic,16-30 Min,19788,false,2021-01-04
322336,JOFAZ TRANSPORTATION INC.,k181,AM Run,Running Late,Mechanical Problem,31-45 Min,13009,false,2021-01-04
322336,JOFAZ TRANSPORTATION INC.,k181,AM Run,Running Late,Mechanical Problem,31-45 Min,13537,false,2021-01-04
322340,G.V.C. LTD. (B2192),x595,AM Run,Running Late,Other,61-90 Min,08036,false,2021-01-04
322340,G.V.C. LTD. (B2192),x595,AM Run,Running Late,Other,61-90 Min,08453,false,2021-01-04
322340,G.V.C. LTD. (B2192),x595,AM Run,Running Late,Other,61-90 Min,08517,false,2021-01-04
322340,G.V.C. LTD. (B2192),x595,AM Run,Running Late,Other,61-90 Min,08562,false,2021-01-04
322344,LEESEL TRANSPORTATION CORP (B2192),n204,AM Run,Running Late,Heavy Traffic,46-60 Min,05133,false,2021-01-04
322344,LEESEL TRANSPORTATION CORP (B2192),n204,AM Run,Running Late,Heavy Traffic,46-60 Min,05197,false,2021-01-04
322355,G.V.C. LTD. (B2192),x519,PM Run,Running Late,Other,0-15 Min,07434,false,2021-01-05
322356,"BORO TRANSIT, INC.",x279,AM Run,Running Late,Other,16-30 Min,12486,false,2021-01-05
322357,G.V.C. LTD. (B2192),x595,PM Run,Running Late,Flat Tire,31-45 Min,08036,false,2021-01-05
322357,G.V.C. LTD. (B2192),x595,PM Run,Running Late,Flat Tire,31-45 Min,08453,false,2021-01-05
322357,G.V.C. LTD. (B2192),x595,PM Run,Running Late,Flat Tire,31-45 Min,08517,false,2021-01-05
322357,G.V.C. LTD. (B2192),x595,PM Run,Running Late,Flat Tire,31-45 Min,08562,false,2021-01-05
323141,"RELIANT TRANSPORTATION, INC (B2321)",q057,AM Run,Running Late,Heavy Traffic,31-45 Min,24075,false,2021-01-25
323141,"RELIANT TRANSPORTATION, INC (B2321)",q057,AM Run,Running Late,Heavy Traffic,31-45 Min,24467,false,2021-01-25
323143,"THOMAS BUSES, INC. (B2321)",n838,AM Run,Running Late,Heavy Traffic,16-30 Min,75777,false,2021-01-25
323145,LITTLE RICHIE BUS SERVICE,q624,AM Run,Running Late,Other,31-45 Min,24009,false,2021-01-25
323146,"DON THOMAS BUSES, INC. (B2321)",y120,AM Run,Running Late,Heavy Traffic,16-30 Min,08015,false,2021-01-25
323168,FIRST STEPS TRANS INC. (B2192),m132,AM Run,Running Late,Heavy Traffic,16-30 Min,06187,false,2021-01-25
323169,"BORO TRANSIT, INC.",m128,AM Run,Breakdown,Mechanical Problem,,02075,false,2021-01-25
322421,LEESEL TRANSPORTATION CORP (B2192),n199,AM Run,Running Late,Heavy Traffic,46-60 Min,03149,false,2021-01-06
322421,LEESEL TRANSPORTATION CORP (B2192),n199,AM Run,Running Late,Heavy Traffic,46-60 Min,03325,false,2021-01-06
322421,LEESEL TRANSPORTATION CORP (B2192),n199,AM Run,Running Late,Heavy Traffic,46-60 Min,03455,false,2021-01-06
322427,PIONEER TRANSPORTATION CORP,x074,AM Run,Running Late,Heavy Traffic,0-15 Min,08015,false,2021-01-06
322427,PIONEER TRANSPORTATION CORP,x074,AM Run,Running Late,Heavy Traffic,0-15 Min,08420,false,2021-01-06
322430,L & M BUS CORP.,b0520a,AM Run,Running Late,Other,46-60 Min,c272,false,2021-01-06
322435,CHILDREN`S TRANS INC. (B2321),w205,AM Run,Running Late,Heavy Traffic,31-45 Min,75716,false,2021-01-06
322437,CAREFUL BUS,k559,AM Run,Running Late,Heavy Traffic,16-30 Min,20485,false,2021-01-06
322437,CAREFUL BUS,k559,AM Run,Running Late,Heavy Traffic,16-30 Min,20488,false,2021-01-06
322439,"BORO TRANSIT, INC.",k386,AM Run,Running Late,Heavy Traffic,16-30 Min,15879,false,2021-01-06
322439,"BORO TRANSIT, INC.",k386,AM Run,Running Late,Heavy Traffic,16-30 Min,20015,false,2021-01-06
322440,"RELIANT TRANSPORTATION, INC (B2321)",l629,PM Run,Running Late,Delayed by School,16-30 Min,16455,false,2021-01-06
322440,"RELIANT TRANSPORTATION, INC (B2321)",l629,PM Run,Running Late,Delayed by School,16-30 Min,16464,false,2021-01-06
322441,G.V.C. LTD. (B2192),x839,AM Run,Running Late,Delayed by School,31-45 Min,12012,false,2021-01-06
322450,HOYT TRANSPORTATION CORP.,q389,AM Run,Breakdown,Won`t Start,,25463,false,2021-01-06
